Time [s],Packet ID,MOSI,MISO
0.039043800000000,,0xB0,0x0B
0.042093000000000,,0x00,0x07
0.045066800000000,,0x20,0x00
0.048040800000000,,0x06,0x28
0.051014600000000,,0x0E,0x0F
0.053988400000000,,0x30,0x20
0.056962400000000,,0x32,0x04
0.059936400000000,,0x80,0x00
0.062910200000000,,0x1B,0xC2
0.097989000000000,,0xB0,0x0B
0.100578000000000,,0x00,0x07
0.103551800000000,,0x20,0x00
0.106525600000000,,0x8E,0x28
0.109499200000000,,0x0E,0x0F
0.112473000000000,,0x30,0x20
0.115446800000000,,0x32,0x04
0.118420600000000,,0x80,0x00
0.121394400000000,,0xA3,0xC2
0.157525200000000,,0xB0,0x0B
0.160055000000000,,0x00,0x07
0.163028800000000,,0x20,0x00
0.166002800000000,,0x06,0x28
0.168976800000000,,0x0E,0x0F
0.171950600000000,,0x30,0x20
0.174924600000000,,0x32,0x04
0.177898400000000,,0x80,0x00
0.180872400000000,,0x1B,0xC2
0.217046200000000,,0xB0,0x0B
0.219532600000000,,0x00,0x07
0.222506200000000,,0x20,0x00
0.225480000000000,,0x8E,0x28
0.228453800000000,,0x0E,0x0F
0.231427600000000,,0x30,0x20
0.234401200000000,,0x32,0x04
0.237375200000000,,0x80,0x00
0.240348800000000,,0xA3,0xC2
0.276581800000000,,0xB0,0x0B
0.279008400000000,,0x00,0x07
0.281982400000000,,0x20,0x00
0.284956200000000,,0x06,0x28
0.287930200000000,,0x0E,0x0F
0.290904200000000,,0x30,0x20
0.293878000000000,,0x32,0x04
0.296852000000000,,0x80,0x00
0.299826000000000,,0x1B,0xC2
0.336118200000000,,0xB0,0x0B
0.338485400000000,,0x00,0x07
0.341459200000000,,0x20,0x00
0.344433000000000,,0x8E,0x28
0.347406800000000,,0x0E,0x0F
0.350380800000000,,0x30,0x20
0.353354400000000,,0x32,0x04
0.356328400000000,,0x80,0x00
0.359302200000000,,0xA3,0xC2
0.395639400000000,,0xB0,0x0B
0.397960400000000,,0x00,0x07
0.400934000000000,,0x20,0x00
0.403907800000000,,0x06,0x28
0.406881600000000,,0x0E,0x0F
0.409855400000000,,0x30,0x20
0.412829000000000,,0x32,0x04
0.415802800000000,,0x80,0x00
0.418776400000000,,0x1B,0xC2
0.455294400000000,,0xB0,0x0B
0.457435000000000,,0x00,0x07
0.460408800000000,,0x20,0x00
0.463382600000000,,0x8E,0x28
0.466356200000000,,0x0E,0x0F
0.469330000000000,,0x30,0x20
0.472303800000000,,0x33,0x04
0.475277600000000,,0x80,0x00
0.478251400000000,,0xA4,0xC2
0.514721400000000,,0xB0,0x0B
0.516909800000000,,0x00,0x07
0.519883600000000,,0x20,0x00
0.522857400000000,,0x06,0x28
0.525831000000000,,0x0E,0x0F
0.528804600000000,,0x30,0x20
0.531778400000000,,0x33,0x04
0.534752000000000,,0x80,0x00
0.537725800000000,,0x1C,0xC2
0.574165800000000,,0xB0,0x0B
0.576386000000000,,0x00,0x07
0.579359800000000,,0x20,0x00
0.582333600000000,,0x8E,0x28
0.585307200000000,,0x0E,0x0F
0.588281200000000,,0x30,0x20
0.591254800000000,,0x33,0x04
0.594228600000000,,0x80,0x00
0.597202400000000,,0xA4,0xC2
0.633609200000000,,0xB0,0x0B
0.635862400000000,,0x00,0x07
0.638836200000000,,0x20,0x00
0.641810000000000,,0x06,0x28
0.644783800000000,,0x0E,0x0F
0.647757600000000,,0x30,0x20
0.650731400000000,,0x33,0x04
0.653705200000000,,0x80,0x00
0.656679000000000,,0x1C,0xC2
0.693037400000000,,0xB0,0x0B
0.695338400000000,,0x00,0x07
0.698312400000000,,0x20,0x00
0.701286200000000,,0x8E,0x28
0.704260200000000,,0x0E,0x0F
0.707234200000000,,0x30,0x20
0.710208200000000,,0x33,0x04
0.713182000000000,,0x80,0x00
0.716156000000000,,0xA4,0xC2
0.752687000000000,,0xB0,0x0B
0.754816000000000,,0x00,0x07
0.757789800000000,,0x20,0x00
0.760763800000000,,0x06,0x28
0.763737800000000,,0x0E,0x0F
0.766711600000000,,0x30,0x20
0.769685600000000,,0x33,0x04
